Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
AEROPUERTO E. CORTISSOZ - AUT,,	2005-05-04,,Operational,Partly operational,Land (fixed),"0-170-0-29045190|primary,0-170-0-80029",South America,Brazil,Colombia,10.8835,-74.77974,25,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-14,Jorge Andres Gonzalez Rojas
AEROPUERTO EL CARANO,,	1947-02-14,,Operational,Operational,Land (fixed),0-170-0-11045010|primary,South America,Brazil,Colombia,5.6906,-76.6438,75,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,5|130,RBON:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
AEROPUERTO EL EDEN - - AUT,,	2016-07-15,,Operational,Partly operational,Land (fixed),0-170-0-26125061|primary,South America,Brazil,Colombia,4.45472,-75.76639,1229,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,RBON:Operational,	2022-08-29,Jorge Andres Gonzalez Rojas
AEROPUERTO EL EMBRUJO,,	1973-01-15,,Operational,Partly operational,Land (fixed),0-170-0-17025020|primary,South America,Brazil,Colombia,13.3595,-81.35772,7,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-07-24,Jorge Andres Gonzalez Rojas
AEROPUERTO G L VALENCIA [26035030],,	1946-06-15,,Operational,Unknown,Land (fixed),0-170-0-26035030|primary,South America,Brazil,Colombia,2.452889,-76.60875,1752,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,|,GOS General:Operational,	2023-06-20,COL NMHS
AEROPUERTO J.M. CORDOVA - AUT,,	2006-11-27,,Operational,Partly operational,Land (fixed),0-170-0-23085270|primary,South America,Brazil,Colombia,6.16867,-75.42592,2157,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within rises of high altitude,,"GBON:Operational, RBON:Operational",	2023-08-13,Jorge Andres Gonzalez Rojas
AEROPUERTO LOS GARZONES,,	2015-02-06,,Operational,Operational,Land (fixed),0-170-0-13035501|primary,South America,Brazil,Colombia,8.8258,-75.8251,20,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-08-11,Jorge Andres Gonzalez Rojas
AEROPUERTO PALONEGRO,,	2005-05-05,,Operational,Partly operational,Land (fixed),0-170-0-23195502|primary,South America,Brazil,Colombia,7.12147,-73.18453,1189,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,,"GBON:Operational, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
AEROPUERTO RAFAEL NUNEZ,,	2005-05-06,,Operational,Unknown,Land (fixed),"0-170-0-14015080|primary,0-170-0-80023",South America,Brazil,Colombia,10.44725,-75.51603,2,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of very low altitude,,"GBON:Operational, GOS General:Operational",	2023-08-14,Jorge Andres Gonzalez Rojas
AEROPUERTO SAN LUIS - AUT,,	1997-11-06,,Operational,Partly operational,Land (fixed),0-170-0-52055230|primary,South America,Brazil,Colombia,0.85708,-77.67775,2961,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
AEROPUERTO SESQUICENTENARIO,,	1958-01-15,,Operational,Partly operational,Land (fixed),0-170-0-17015010|primary,South America,Brazil,Colombia,12.5422,-81.73097,3,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-07-24,Jorge Andres Gonzalez Rojas
AEROPUERTO SIMON BOLIVAR,,	1952-06-15,,Operational,Unknown,Land (fixed),0-170-0-15015050|primary,South America,Brazil,Colombia,11.1212,-74.23147,6,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
AEROPUERTO VASQUEZ COBO,,	2009-07-22,,Operational,Partly operational,Land (fixed),0-170-0-48015050|primary,South America,Brazil,Colombia,-4.19938,-69.94318,77,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,,GOS General:Operational,	2022-09-19,Jorge Andres Gonzalez Rojas
AEROPUERTO YARIGUIES,,	1931-07-15,,Operational,Partly operational,Land (fixed),0-170-0-23155030|primary,South America,Brazil,Colombia,7.02639,-73.80861,123,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
AEROPUERTO YOPAL - AUT,,	2005-11-17,,Operational,Partly operational,Land (fixed),"0-170-0-35215020|primary,0-170-0-80240",South America,Brazil,Colombia,5.32044,-72.3875,325,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Polar - Tundra,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,RBON:Operational,	2023-08-14,Jorge Andres Gonzalez Rojas
ALBANIA,,	1987-04-15,,Operational,Partly operational,Land (fixed),0-170-0-23025040|primary,South America,Brazil,Colombia,5.30111,-74.91458,755,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
ALTAMIRA EL GRIFO,,	1995-12-01,,Operational,Operational,Land (fixed),0-170-0-21025030|primary,South America,Brazil,Colombia,2.07917,-75.73622,1368,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
ANIMAS LAS,,	1985-01-15,,Operational,Unknown,Land (fixed),0-170-0-35027150|primary,South America,Brazil,Colombia,4.13797,-74.17381,2840,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
APARTADO/LOS CEDROS,,	1983-05-15,,Operational,Partly operational,Land (fixed),0-20000-0-80084|primary,South America,Brazil,Colombia,7.8166666667,-76.7,20,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
ARAUCA/SANTIAGO PEREZ,,	1950-05-14,,Operational,Partly operational,Land (fixed),0-20000-0-80099|primary,South America,Brazil,Colombia,7.0666666667,-70.7333333333,128,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-04,Jorge Andres Gonzalez Rojas
ARMENIA/EL EDEN,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-80211|primary,South America,Brazil,Colombia,4.5,-75.7166666667,1204,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
ARMERO GRANJA,,	1986-10-14,,Operational,Unknown,Land (fixed),0-170-0-21255090|primary,South America,Brazil,Colombia,5,-74.89999,321,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
ATRATO - AUT,,	2017-12-28,,Operational,Operational,Land (fixed),0-170-0-11175000|primary,South America,Brazil,Colombia,5.58835,-76.64351,47,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
AYAPEL - AUT,,	2014-12-11,,Operational,Partly operational,Land (fixed),0-170-0-25025030|primary,South America,Brazil,Colombia,8.29506,-75.16455,20,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
Altamira,Altamira [21050250],	1975-12-01,,Operational,Unknown,Land (fixed),0-170-0-21050250|primary,South America,Brazil,Colombia,2.501,-76.095167,2235,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,9|230,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
BARRANCABERMEJA/YARIGUIES,,	1931-07-15,,Operational,Partly operational,Land (fixed),0-20000-0-80091|primary,South America,Brazil,Colombia,7.0166666667,-73.8,126,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
BARRANQUILLA/ERNESTO CORTISSOZ,,	2005-05-04,,Operational,Operational,Land (fixed),0-20000-0-80028|primary,South America,Brazil,Colombia,10.8833333333,-74.7833333333,14,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-02,Jorge Andres Gonzalez Rojas
BASE AEREA MARCO FIDEL SUAREZ  - AUT,,	2006-11-22,,Operational,Silent,Land (fixed),0-170-0-26085170|primary,South America,Brazil,Colombia,3.4545,-76.4997,975,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
BELLAVISTA,,	1966-07-14,,Operational,Operational,Land (fixed),0-170-0-11080010|primary,South America,Brazil,Colombia,6.5569,-76.8881,36,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
BOGOTA/ELDORADO,,	1959-01-01,,Operational,Operational,Land (fixed),0-20000-0-80222|primary,South America,Brazil,Colombia,4.7,-74.15,2547,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;GUAN;METAR;RBCN;RBSN(ST);SPECI;SUNDUR;WTR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, GUAN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2022-08-04,Jorge Andres Gonzalez Rojas
BOQUERON DE TOYO,,	1983-05-15,,Operational,Unknown,Land (fixed),0-170-0-11110110|primary,South America,Brazil,Colombia,6.69944,-75.9775,2127,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
BUCARAMANGA/PALONEGRO,,	2005-05-05,,Operational,Partly operational,Land (fixed),0-20000-0-80094|primary,South America,Brazil,Colombia,7.1,-73.2,1189,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
BUENAVENTURA,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80252|primary,South America,Brazil,Colombia,3.85,-76.9666666667,14,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
Bogotá,,	1998-01-01,,Operational,Unknown,Land (fixed),0-20008-0-BGT|primary,South America,Brazil,Colombia,4.5988888741,-74.0808334351,2541,,UTC-5,,http://www.ideam.gov.co,,"Bogotá a city in central Colombia, is the country's capital, located on a mountain rimmed plateau high in the Cordillera Oriental of the Andes Mountains called the ""Sabana de Bogotá"", which is about 30 km wide and 70 km long. A high Andean Mountain range rises to the East of the city, with the downtown area resting at the foot of Monserrate and Guadalupe Mountains. Today the city is a cosmopolitan metropolis which still has some vestiges of the Spanish Colonial era. It is the political, industrial, economic and cultural center of the country. ",Warm Temperate - Fully humid - Warm summer,,,,,GAW Regional:Operational,	2009-03-13,
CALI/ALFONSO BONILLA ARAGON,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-80259|primary,South America,Brazil,Colombia,3.55,-76.3833333333,961,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;METAR;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
CARDON EL,,	1974-05-15,,Operational,Operational,Land (fixed),0-170-0-35235010|primary,South America,Brazil,Colombia,6.0117,-72.52928,3590,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,8|200,RBON:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
CARTAGENA/RAFAEL NUNEZ,,	2005-05-06,,Operational,Operational,Land (fixed),0-20000-0-80022|primary,South America,Brazil,Colombia,10.45,-75.5166666667,1,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-02,Jorge Andres Gonzalez Rojas
CERCADO EL AUTOMAT,,	2004-09-04,,Operational,Unknown,Land (fixed),0-170-0-15067020|primary,South America,Brazil,Colombia,10.9075,-73.00833,335,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
CERROS NOROCCIDENTALES  - AUT,,	2005-10-17,,Operational,Silent,Land (fixed),0-170-0-21215160|primary,South America,Brazil,Colombia,4.4704,-75.2439,1946,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2022-08-29,Jorge Andres Gonzalez Rojas
CERTEGUI,,	1967-01-15,,Operational,Operational,Land (fixed),0-170-0-11030010|primary,South America,Brazil,Colombia,5.3736,-76.6046,54,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
CLARAVAL,,	1972-02-15,,Operational,Partly operational,Land (fixed),"0-170-0-35060210|primary,0-170-0-80373",South America,Brazil,Colombia,4.6489,-73.64083,2148,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-16,Jorge Andres Gonzalez Rojas
CONDOTO/MANDINGA,,,,Operational,Unknown,Land (fixed),0-20000-0-80143|primary,South America,Brazil,Colombia,5.0833333333,-76.7,72,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
COROZAL/LAS BRUJAS,,,,Operational,Unknown,Land (fixed),0-20000-0-80044|primary,South America,Brazil,Colombia,9.3333333333,-75.2833333333,81,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
CORPOBOYACA - SANTA INES AUT,,	2016-12-31,,Operational,Unknown,Land (fixed),0-170-0-35167000|primary,South America,Brazil,Colombia,5.545,-72.88411,3041,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
CRISTO REY  - AUT,,	1973-10-14,,Operational,Silent,Land (fixed),0-170-0-12045020|primary,South America,Brazil,Colombia,9.0711,-76.2244,15,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,4|310,GOS General:Operational,	2022-03-30,COL NMHS
CRUCES LAS,,	1974-10-15,,Operational,Partly operational,Land (fixed),0-170-0-21140120|primary,South America,Brazil,Colombia,3.42586,-74.92025,1489,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
CUCUTA/CAMILO DAZA,,	1961-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-80097|primary,South America,Brazil,Colombia,7.9333333333,-72.5166666667,250,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-02,Jorge Andres Gonzalez Rojas
