Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
AEROPUERTO ALM. PADILLA -,,	2004-06-21,,Operational,Partly operational,Land (fixed),0-170-0-15065180|primary,South America,Brazil,Colombia,11.52961,-72.91767,4,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Desert - Hot arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,,RBON:Operational,	2022-08-29,Jorge Andres Gonzalez Rojas
AEROPUERTO BARACOA,,	1954-01-15,,Operational,Partly operational,Land (fixed),0-170-0-25025100|primary,South America,Brazil,Colombia,9.28194,-74.84528,57,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
AEROPUERTO CAMILO DAZA - AUT,,	2015-06-10,,Operational,Partly operational,Land (fixed),"0-170-0-16015501|primary,0-170-0-80095",South America,Brazil,Colombia,7.93028,-72.50917,306,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
AEROPUERTO E. CORTISSOZ - AUT,,	2005-05-04,,Operational,Partly operational,Land (fixed),"0-170-0-29045190|primary,0-170-0-80029",South America,Brazil,Colombia,10.8835,-74.77974,25,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-14,Jorge Andres Gonzalez Rojas
AEROPUERTO EL CARANO,,	1947-02-14,,Operational,Operational,Land (fixed),0-170-0-11045010|primary,South America,Brazil,Colombia,5.6906,-76.6438,75,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,5|130,RBON:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
AEROPUERTO EL EDEN - - AUT,,	2016-07-15,,Operational,Partly operational,Land (fixed),0-170-0-26125061|primary,South America,Brazil,Colombia,4.45472,-75.76639,1229,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,RBON:Operational,	2022-08-29,Jorge Andres Gonzalez Rojas
AEROPUERTO EL EMBRUJO,,	1973-01-15,,Operational,Partly operational,Land (fixed),0-170-0-17025020|primary,South America,Brazil,Colombia,13.3595,-81.35772,7,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-07-24,Jorge Andres Gonzalez Rojas
AEROPUERTO G L VALENCIA [26035030],,	1946-06-15,,Operational,Unknown,Land (fixed),0-170-0-26035030|primary,South America,Brazil,Colombia,2.452889,-76.60875,1752,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,|,GOS General:Operational,	2023-06-20,COL NMHS
AEROPUERTO J.M. CORDOVA - AUT,,	2006-11-27,,Operational,Partly operational,Land (fixed),0-170-0-23085270|primary,South America,Brazil,Colombia,6.16867,-75.42592,2157,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within rises of high altitude,,"GBON:Operational, RBON:Operational",	2023-08-13,Jorge Andres Gonzalez Rojas
AEROPUERTO LAS FLORES - AUT,,	2013-05-05,,Silent,Silent,Land (fixed),0-170-0-25025360|primary,South America,Brazil,Colombia,9.04625,-73.97091,36,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
AEROPUERTO LOS GARZONES,,	2015-02-06,,Operational,Operational,Land (fixed),0-170-0-13035501|primary,South America,Brazil,Colombia,8.8258,-75.8251,20,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-08-11,Jorge Andres Gonzalez Rojas
AEROPUERTO MATECANA,,	2014-09-12,,Silent,Silent,Land (fixed),0-170-0-26125710|primary,South America,Brazil,Colombia,4.81267,-75.73952,1342,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within rises of high altitude,,GOS General:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
AEROPUERTO PALONEGRO,,	2005-05-05,,Operational,Partly operational,Land (fixed),0-170-0-23195502|primary,South America,Brazil,Colombia,7.12147,-73.18453,1189,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,,"GBON:Operational, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
AEROPUERTO PUERTO BOLIVAR  - AUT,,	2014-08-21,,Silent,Silent,Land (fixed),0-170-0-15075501|primary,South America,Brazil,Colombia,12.22436,-71.98297,31,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
AEROPUERTO RAFAEL NUNEZ,,	2005-05-06,,Operational,Unknown,Land (fixed),"0-170-0-14015080|primary,0-170-0-80023",South America,Brazil,Colombia,10.44725,-75.51603,2,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of very low altitude,,"GBON:Operational, GOS General:Operational",	2023-08-14,Jorge Andres Gonzalez Rojas
AEROPUERTO SAN LUIS - AUT,,	1997-11-06,,Operational,Partly operational,Land (fixed),0-170-0-52055230|primary,South America,Brazil,Colombia,0.85708,-77.67775,2961,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
AEROPUERTO SESQUICENTENARIO,,	1958-01-15,,Operational,Partly operational,Land (fixed),0-170-0-17015010|primary,South America,Brazil,Colombia,12.5422,-81.73097,3,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-07-24,Jorge Andres Gonzalez Rojas
AEROPUERTO VASQUEZ COBO,,	2009-07-22,,Operational,Partly operational,Land (fixed),0-170-0-48015050|primary,South America,Brazil,Colombia,-4.19938,-69.94318,77,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,,GOS General:Operational,	2022-09-19,Jorge Andres Gonzalez Rojas
AEROPUERTO YARIGUIES,,	1931-07-15,,Operational,Partly operational,Land (fixed),0-170-0-23155030|primary,South America,Brazil,Colombia,7.02639,-73.80861,123,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
AEROPUERTO YOPAL - AUT,,	2005-11-17,,Operational,Partly operational,Land (fixed),"0-170-0-35215020|primary,0-170-0-80240",South America,Brazil,Colombia,5.32044,-72.3875,325,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Polar - Tundra,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,RBON:Operational,	2023-08-14,Jorge Andres Gonzalez Rojas
AGUAS DE LA VIRGEN  - AUT,,	2006-08-08,,Silent,Silent,Land (fixed),0-170-0-16055120|primary,South America,Brazil,Colombia,8.22769,-73.3975,1679,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
ALBANIA,,	1987-04-15,,Operational,Partly operational,Land (fixed),0-170-0-23025040|primary,South America,Brazil,Colombia,5.30111,-74.91458,755,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
ALGECIRAS - AUT,,	1971-04-15,,Unknown,Unknown,Land (fixed),0-170-0-21105030|primary,South America,Brazil,Colombia,2.52,-75.32,993,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,7|220,RBON,	2022-11-12,Jorge Andres Gonzalez Rojas
ALTAMIRA EL GRIFO,,	1995-12-01,,Operational,Operational,Land (fixed),0-170-0-21025030|primary,South America,Brazil,Colombia,2.07917,-75.73622,1368,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
ALTO DEL TRIGO,,	2018-03-26,,Silent,Unknown,Land (fixed),0-170-0-2306500106|primary,South America,Brazil,Colombia,5.00217,-74.53667,1742,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,"GBON:Non-reporting, GOS General:Non-reporting",	2023-08-13,Jorge Andres Gonzalez Rojas
ANGOSTURA - AUT,,	2017-12-25,,Unknown,Unknown,Land (fixed),0-170-0-2702500107|primary,South America,Brazil,Colombia,6.9006,-75.32602,1756,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General,	2023-05-30,Jorge Andres Gonzalez Rojas
APARTADO/LOS CEDROS,,	1983-05-15,,Operational,Partly operational,Land (fixed),0-20000-0-80084|primary,South America,Brazil,Colombia,7.8166666667,-76.7,20,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
APONTE,,	1972-08-15,,Silent,Unknown,Land (fixed),0-170-0-52040050|primary,South America,Brazil,Colombia,1.3973,-77.03053,1800,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,7|570,GBON:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
AQUITANIA - AUT,,	2004-12-06,,Silent,Silent,Land (fixed),0-170-0-35095120|primary,South America,Brazil,Colombia,5.55663,-72.88175,3026,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
ARAUCA/SANTIAGO PEREZ,,	1950-05-14,,Operational,Partly operational,Land (fixed),0-20000-0-80099|primary,South America,Brazil,Colombia,7.0666666667,-70.7333333333,128,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-04,Jorge Andres Gonzalez Rojas
ARBOLEDAS - AUT,,	2017-12-28,,Unknown,Unknown,Land (fixed),0-170-0-1602500110|primary,South America,Brazil,Colombia,7.6451,-72.79917,935,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON,	2022-11-12,Jorge Andres Gonzalez Rojas
ARMENIA/EL EDEN,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-80211|primary,South America,Brazil,Colombia,4.5,-75.7166666667,1204,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
ARRAYANALES - AUT,ARRAYANALES - AUT - AUT,	2010-05-24,,Silent,Silent,Land (fixed),0-170-0-26015040|primary,South America,Brazil,Colombia,2.448041,-76.435747,2552,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
ATRATO - AUT,,	2017-12-28,,Operational,Operational,Land (fixed),0-170-0-11175000|primary,South America,Brazil,Colombia,5.58835,-76.64351,47,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
AYAPEL - AUT,,	2014-12-11,,Operational,Partly operational,Land (fixed),0-170-0-25025030|primary,South America,Brazil,Colombia,8.29506,-75.16455,20,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
Altamira,Altamira [21050250],	1975-12-01,,Operational,Unknown,Land (fixed),0-170-0-21050250|primary,South America,Brazil,Colombia,2.501,-76.095167,2235,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,9|230,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
BARRANCABERMEJA/YARIGUIES,,	1931-07-15,,Operational,Partly operational,Land (fixed),0-20000-0-80091|primary,South America,Brazil,Colombia,7.0166666667,-73.8,126,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
BARRANQUILLA/ERNESTO CORTISSOZ,,	2005-05-04,,Operational,Operational,Land (fixed),0-20000-0-80028|primary,South America,Brazil,Colombia,10.8833333333,-74.7833333333,14,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-02,Jorge Andres Gonzalez Rojas
BASE AEREA MARCO FIDEL SUAREZ  - AUT,,	2006-11-22,,Operational,Silent,Land (fixed),0-170-0-26085170|primary,South America,Brazil,Colombia,3.4545,-76.4997,975,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
BATALLON ROOKE  - AUT,,	2005-12-09,,Silent,Silent,Land (fixed),0-170-0-21215180|primary,South America,Brazil,Colombia,4.43539,-75.24853,1323,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,RBON:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
BELLAVISTA,,	1966-07-14,,Operational,Operational,Land (fixed),0-170-0-11080010|primary,South America,Brazil,Colombia,6.5569,-76.8881,36,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
BELLAVISTA - JESUS MARIA - AUT,,	2017-06-03,,Unknown,Unknown,Land (fixed),0-170-0-2614500112|primary,South America,Brazil,Colombia,5.2759,-75.80017,1984,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON,	2022-11-12,Jorge Andres Gonzalez Rojas
BERLIN - AUT,,	2008-08-21,,Silent,Unknown,Land (fixed),0-170-0-37015030|primary,South America,Brazil,Colombia,7.187,-72.8685,3306,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,"GBON:Non-reporting, RBON:Non-reporting",	2023-08-13,Jorge Andres Gonzalez Rojas
BOGOTA/ELDORADO,,	1959-01-01,,Operational,Operational,Land (fixed),0-20000-0-80222|primary,South America,Brazil,Colombia,4.7,-74.15,2547,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;GUAN;METAR;RBCN;RBSN(ST);SPECI;SUNDUR;WTR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, GUAN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2022-08-04,Jorge Andres Gonzalez Rojas
BOTANA - AUT,,	2004-03-01,,Silent,Unknown,Land (fixed),0-170-0-52055210|primary,South America,Brazil,Colombia,1.16,-77.27881,282,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of very high altitude,,"GBON:Non-reporting, GOS General:Non-reporting",	2023-08-13,Jorge Andres Gonzalez Rojas
BRASIL - AUT,,	2017-12-12,,Silent,Partly operational,Land (fixed),0-170-0-2302500037|primary,South America,Brazil,Colombia,5.13992,-75.31664,2340,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
BUCARAMANGA/PALONEGRO,,	2005-05-05,,Operational,Partly operational,Land (fixed),0-20000-0-80094|primary,South America,Brazil,Colombia,7.1,-73.2,1189,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
BUENAVENTURA,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80252|primary,South America,Brazil,Colombia,3.85,-76.9666666667,14,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
